Instance Type,Version,Edition,VCPU,Memory,Bandwidth,IOPS,Throughput,Size,Class,RDSCustom,current,ratio,instanceType
db.z1d.6xlarge ,14,SE,24,192,9500,40000,1188,6xlarge,z1d,N,Y,8,M
db.z1d.6xlarge ,15,EE,24,192,9500,40000,1188,6xlarge,z1d,N,Y,8,M
db.z1d.6xlarge ,15,SE,24,192,9500,40000,1188,6xlarge,z1d,N,Y,8,M
db.m5.8xlarge  ,12,EE,32,128,6800,30000,850,8xlarge,m5,Y,Y,4,G
db.m5.8xlarge  ,12,SE,32,128,6800,30000,850,8xlarge,m5,Y,Y,4,G
db.m5.8xlarge  ,13,EE,32,128,6800,30000,850,8xlarge,m5,Y,Y,4,G
db.m5.8xlarge  ,13,SE,32,128,6800,30000,850,8xlarge,m5,Y,Y,4,G
db.m5.8xlarge  ,14,EE,32,128,6800,30000,850,8xlarge,m5,Y,Y,4,G
db.m5.8xlarge  ,14,SE,32,128,6800,30000,850,8xlarge,m5,Y,Y,4,G
db.m5.8xlarge  ,15,EE,32,128,6800,30000,850,8xlarge,m5,Y,Y,4,G
db.m5.8xlarge  ,15,SE,32,128,6800,30000,850,8xlarge,m5,Y,Y,4,G
db.m5d.8xlarge ,12,EE,32,128,6800,30000,850,8xlarge,m5d,N,Y,4,G
db.m5d.8xlarge ,12,SE,32,128,6800,30000,850,8xlarge,m5d,N,Y,4,G
db.m5d.8xlarge ,13,EE,32,128,6800,30000,850,8xlarge,m5d,N,Y,4,G
db.m5d.8xlarge ,13,SE,32,128,6800,30000,850,8xlarge,m5d,N,Y,4,G
db.m5d.8xlarge ,14,EE,32,128,6800,30000,850,8xlarge,m5d,N,Y,4,G
db.m5d.8xlarge ,14,SE,32,128,6800,30000,850,8xlarge,m5d,N,Y,4,G
db.m5d.8xlarge ,15,EE,32,128,6800,30000,850,8xlarge,m5d,N,Y,4,G
db.m5d.8xlarge ,15,SE,32,128,6800,30000,850,8xlarge,m5d,N,Y,4,G
db.m6i.8xlarge  ,12,EE,32,128,10000,40000,1250,8xlarge,m6i,N,Y,4,G
db.m6i.8xlarge  ,12,SE,32,128,10000,40000,1250,8xlarge,m6i,N,Y,4,G
db.m6i.8xlarge  ,13,EE,32,128,10000,40000,1250,8xlarge,m6i,N,Y,4,G
db.m6i.8xlarge  ,13,SE,32,128,10000,40000,1250,8xlarge,m6i,N,Y,4,G
db.m6i.8xlarge  ,14,EE,32,128,10000,40000,1250,8xlarge,m6i,N,Y,4,G
db.m6i.8xlarge  ,14,SE,32,128,10000,40000,1250,8xlarge,m6i,N,Y,4,G
db.m6i.8xlarge  ,15,EE,32,128,10000,40000,1250,8xlarge,m6i,N,Y,4,G
db.m6i.8xlarge  ,15,SE,32,128,10000,40000,1250,8xlarge,m6i,N,Y,4,G
db.r5.8xlarge  ,12,EE,32,256,6800,30000,850,8xlarge,r5,Y,Y,8,M
db.r5.8xlarge  ,12,SE,32,256,6800,30000,850,8xlarge,r5,Y,Y,8,M
db.r5.8xlarge  ,13,EE,32,256,6800,30000,850,8xlarge,r5,Y,Y,8,M
db.r5.8xlarge  ,13,SE,32,256,6800,30000,850,8xlarge,r5,Y,Y,8,M
db.r5.8xlarge  ,14,EE,32,256,6800,30000,850,8xlarge,r5,Y,Y,8,M
db.r5.8xlarge  ,14,SE,32,256,6800,30000,850,8xlarge,r5,Y,Y,8,M
